DATE,VIXCLS,CPILFESL,GOLDAMGBD228NLBM
1990-03-01,20.0622727272727273,133.5,393.6613636363636364
1990-04-01,21.4035000000000000,134.0,374.9289473684210526
1990-05-01,18.0977272727272727,134.4,368.8547619047619048
1990-06-01,16.8223809523809524,135.1,352.6571428571428571
1990-07-01,18.3928571428571429,135.8,361.8204545454545455
1990-08-01,28.1752173913043478,136.6,394.8613636363636364
1990-09-01,29.1073684210526316,137.1,389.5600000000000000
1990-10-01,29.6256521739130435,137.6,381.3326086956521739
1990-11-01,24.8857142857142857,138.0,381.8659090909090909
1990-12-01,23.3630000000000000,138.6,378.1605263157894737
1991-01-01,27.4290909090909091,139.5,384.5909090909090909
1991-02-01,21.5984210526315789,140.2,363.7475000000000000
1991-03-01,17.7442105263157895,140.5,363.3900000000000000
1991-04-01,17.3727272727272727,140.9,358.0547619047619048
1991-05-01,16.9322727272727273,141.3,357.1166666666666667
1991-06-01,17.1350000000000000,141.8,366.3600000000000000
1991-07-01,17.2940909090909091,142.3,368.0130434782608696
1991-08-01,15.6813636363636364,142.9,356.7214285714285714
1991-09-01,16.9565000000000000,143.4,348.4595238095238095
1991-10-01,16.3639130434782609,143.7,358.8260869565217391
1991-11-01,17.7735000000000000,144.2,359.9595238095238095
1991-12-01,18.3476190476190476,144.7,361.8750000000000000
1992-01-01,17.6831818181818182,145.1,354.4363636363636364
1992-02-01,17.4773684210526316,145.4,353.8525000000000000
1992-03-01,17.5204545454545455,145.9,344.6409090909090909
1992-04-01,16.5628571428571429,146.3,338.7275000000000000
1992-05-01,15.0770000000000000,146.8,337.0394736842105263
1992-06-01,15.2031818181818182,147.1,340.7840909090909091
1992-07-01,13.6018181818181818,147.6,352.4521739130434783
1992-08-01,14.4219047619047619,147.9,343.6025000000000000
1992-09-01,13.6966666666666667,148.1,345.3000000000000000
1992-10-01,17.6368181818181818,148.8,344.2772727272727273
1992-11-01,14.4245000000000000,149.2,334.9238095238095238
1992-12-01,12.1913636363636364,149.6,334.6571428571428571
1993-01-01,12.4090000000000000,150.1,328.9925000000000000
1993-02-01,13.7215789473684211,150.6,329.3100000000000000
1993-03-01,13.6060869565217391,150.8,329.9739130434782609
1993-04-01,12.8409523809523810,151.4,341.9475000000000000
1993-05-01,13.6060000000000000,151.8,367.0447368421052632
1993-06-01,12.5240909090909091,152.1,371.9136363636363636
1993-07-01,11.5004761904761905,152.3,392.0340909090909091
1993-08-01,11.9286363636363636,152.8,379.7952380952380952
1993-09-01,12.9314285714285714,152.9,355.5613636363636364
1993-10-01,11.8752380952380952,153.4,364.0047619047619048
1993-11-01,14.0838095238095238,153.9,373.9386363636363636
1993-12-01,11.3563636363636364,154.3,383.2428571428571429
1994-01-01,11.2904761904761905,154.5,387.1100000000000000
1994-02-01,13.6442105263157895,154.8,381.6575000000000000
1994-03-01,15.2234782608695652,155.3,384.0000000000000000
1994-04-01,16.4710526315789474,155.5,377.9078947368421053
1994-05-01,13.8971428571428571,155.9,381.3425000000000000
1994-06-01,13.4086363636363636,156.4,385.7136363636363636
1994-07-01,12.4845000000000000,156.7,385.4500000000000000
1994-08-01,11.8891304347826087,157.1,380.2068181818181818
1994-09-01,13.2333333333333333,157.5,391.3477272727272727
1994-10-01,15.2452380952380952,157.8,390.1642857142857143
1994-11-01,16.3838095238095238,158.2,384.3772727272727273
1994-12-01,14.1771428571428571,158.3,379.4800000000000000
1995-01-01,12.2742857142857143,159.0,378.7380952380952381
1995-02-01,11.4700000000000000,159.4,376.7450000000000000
1995-03-01,12.1665217391304348,159.9,381.8195652173913043
1995-04-01,12.4426315789473684,160.4,391.3388888888888889
1995-05-01,12.2659090909090909,160.7,385.2309523809523810
1995-06-01,11.8968181818181818,161.1,387.6181818181818182
1995-07-01,12.5140000000000000,161.4,386.1380952380952381
1995-08-01,12.7982608695652174,161.8,383.5022727272727273
1995-09-01,12.0570000000000000,162.2,382.9309523809523810
1995-10-01,14.3572727272727273,162.7,383.2022727272727273
1995-11-01,12.4690476190476190,163.0,385.2090909090909091
1995-12-01,11.7485000000000000,163.1,387.4447368421052632
1996-01-01,13.4736363636363636,163.7,398.6954545454545455
1996-02-01,15.0330000000000000,164.0,404.9190476190476190
1996-03-01,17.7623809523809524,164.4,396.5119047619047619
1996-04-01,16.5752380952380952,164.6,392.8700000000000000
1996-05-01,16.1463636363636364,165.0,391.9904761904761905
1996-06-01,16.3950000000000000,165.4,385.2450000000000000
1996-07-01,17.9786363636363636,165.7,383.4565217391304348
1996-08-01,15.7604545454545455,166.0,387.5095238095238095
1996-09-01,16.5780000000000000,166.5,383.2904761904761905
1996-10-01,16.3817391304347826,166.8,380.9086956521739130
1996-11-01,15.9970000000000000,167.2,377.8690476190476190
1996-12-01,19.2609523809523810,167.4,369.3375000000000000
1997-01-01,19.4733333333333333,167.8,355.0250000000000000
1997-02-01,20.1394736842105263,168.1,346.4000000000000000
1997-03-01,20.1700000000000000,168.4,352.3105263157894737
1997-04-01,19.6622727272727273,168.9,344.7068181818181818
1997-05-01,19.9247619047619048,169.2,344.1000000000000000
1997-06-01,20.1942857142857143,169.4,340.8047619047619048
1997-07-01,20.5290909090909091,169.7,323.7804347826086957
1997-08-01,23.0847619047619048,169.8,323.9975000000000000
1997-09-01,23.8123809523809524,170.2,322.6159090909090909
1997-10-01,23.8708695652173913,170.6,324.8543478260869565
1997-11-01,32.2061111111111111,170.8,306.3450000000000000
1997-12-01,26.2763636363636364,171.2,288.7761904761904762
1998-01-01,23.8665000000000000,171.6,289.2642857142857143
1998-02-01,19.9989473684210526,171.9,297.7425000000000000
1998-03-01,20.1586363636363636,172.2,295.8704545454545455
1998-04-01,22.0285714285714286,172.5,308.5575000000000000
1998-05-01,20.8740000000000000,172.9,298.9710526315789474
1998-06-01,21.6627272727272727,173.2,292.2227272727272727
1998-07-01,19.9300000000000000,173.5,292.8739130434782609
1998-08-01,31.5880952380952381,174.0,284.2275000000000000
1998-09-01,38.2047619047619048,174.2,288.6613636363636364
1998-10-01,36.6081818181818182,174.4,296.5954545454545455
1998-11-01,26.2230000000000000,174.8,294.2428571428571429
1998-12-01,25.4790909090909091,175.4,291.3571428571428571
1999-01-01,28.0352631578947368,175.6,287.3325000000000000
1999-02-01,28.8226315789473684,175.6,287.4950000000000000
1999-03-01,25.3095652173913043,175.7,286.2434782608695652
1999-04-01,23.4785714285714286,176.3,282.6200000000000000
1999-05-01,26.2045000000000000,176.5,276.9315789473684211
1999-06-01,23.6263636363636364,176.6,261.4022727272727273
1999-07-01,21.0490476190476190,177.1,256.1977272727272727
1999-08-01,24.3236363636363636,177.3,256.9357142857142857
1999-09-01,24.5414285714285714,177.8,264.4704545454545455
1999-10-01,24.0214285714285714,178.1,311.5619047619047619
1999-11-01,21.8180952380952381,178.4,293.6500000000000000
1999-12-01,22.1590909090909091,178.7,283.7425000000000000
2000-01-01,23.2020000000000000,179.3,284.5900000000000000
2000-02-01,23.5955000000000000,179.4,300.8547619047619048
2000-03-01,22.7182608695652174,180.0,286.7043478260869565
